Station,Date,Time,CorrGrav,Line,StdDev,StdErr,RawGrav,X,Y,SensorTemp,TideCorr,TiltCorr,TempCorr,DriftCorr,MeasurDur,InstrHeight,LatUser,LonUser,ElevUser,LatGPS,LonGPS,ElevGPS,Corrections[drift-temp-na-tide-tilt]
GF_01,2006-06-07,09:45:40,2938.8852,0,0.0079,0.0014,2920.7902,4.3,-4.5,-2.1683,-0.0392,0.0005,-0.2841,18.4178,30,0.0,26.515779,80.230446,104.5,26.515699,80.230461,103.0,11011
GF_01,2006-06-07,09:46:10,2938.8844,0,0.0155,0.0028,2920.7898,4.4,-3.6,-2.1703,-0.0393,0.0004,-0.2844,18.4178,30,0.0,26.515779,80.230446,104.5,26.51569,80.230461,102.7,11011
GF_01,2006-06-07,09:46:40,2938.8875,0,0.0096,0.0018,2920.7933,4.5,-3.8,-2.1737,-0.0394,0.0004,-0.2845,18.4178,30,0.0,26.515779,80.230446,104.5,26.515715,80.230446,102.2,11011
GF_21,2006-06-07,09:55:02,2936.9117,0,0.0222,0.0041,2918.8198,-7.9,3.5,-2.1775,-0.0414,0.0009,-0.2854,18.4178,30,0.0,26.515671,80.230431,109.7,26.515686,80.230461,108.5,11011
GF_21,2006-06-07,09:55:32,2936.9137,0,0.0123,0.0023,2918.8217,-9.1,4.0,-2.1723,-0.0415,0.0012,-0.2856,18.4178,30,0.0,26.515671,80.230431,109.7,26.515734,80.230431,108.8,11011
GF_21,2006-06-07,09:56:02,2936.9125,0,0.0123,0.0022,2918.8209,-8.6,3.7,-2.1743,-0.0416,0.0009,-0.2855,18.4178,30,0.0,26.515671,80.230431,109.7,26.515709,80.230431,108.0,11011
GF_02,2006-06-07,09:59:49,2938.895,0,0.0119,0.0022,2920.8044,4.0,5.7,-2.1807,-0.0423,0.0007,-0.2856,18.4178,30,0.0,26.515934,80.230469,108.5,26.51582,80.230499,108.7,11011
GF_02,2006-06-07,10:00:19,2938.8946,0,0.0085,0.0016,2920.8039,4.2,7.6,-2.1767,-0.0424,0.0009,-0.2855,18.4178,30,0.0,26.515934,80.230469,108.5,26.51582,80.230499,108.4,11011
GF_02,2006-06-07,10:00:49,2938.8959,0,0.0095,0.0017,2920.8053,4.3,7.6,-2.1759,-0.0425,0.0008,-0.2855,18.4178,30,0.0,26.515934,80.230469,108.5,26.51582,80.230507,108.1,11011
GF_22,2006-06-07,10:05:27,2936.9168,0,0.0113,0.0021,2918.8281,1.0,-0.7,-2.1791,-0.0434,0.0,-0.2858,18.4178,30,0.0,26.5158,80.230484,108.1,26.515789,80.230484,107.6,11011
GF_22,2006-06-07,10:05:57,2936.9133,0,0.01,0.0018,2918.8248,0.7,0.3,-2.187,-0.0434,0.0,-0.2859,18.4178,30,0.0,26.5158,80.230484,108.1,26.515772,80.230469,106.7,11011
GF_22,2006-06-07,10:06:27,2936.9125,0,0.0149,0.0027,2918.824,-1.1,-0.1,-2.1803,-0.0435,0.0001,-0.2858,18.4178,30,0.0,26.5158,80.230484,108.1,26.515757,80.230461,106.9,11011
GF_41,2006-06-07,10:09:43,2934.7551,0,0.0106,0.0019,2916.6674,3.6,-4.8,-2.1772,-0.044,0.0004,-0.2865,18.4178,30,0.0,26.515743,80.230499,107.0,26.515762,80.230522,107.5,11011
GF_41,2006-06-07,10:10:13,2934.7528,0,0.0179,0.0033,2916.6651,2.3,-5.1,-2.1931,-0.0441,0.0004,-0.2864,18.4178,30,0.0,26.515743,80.230499,107.0,26.515751,80.230537,108.0,11011
GF_41,2006-06-07,10:10:43,2934.7575,0,0.0142,0.0026,2916.6702,4.1,-5.7,-2.1824,-0.0442,0.0005,-0.2868,18.4178,30,0.0,26.515743,80.230499,107.0,26.515732,80.230499,107.8,11011
GF_23,2006-06-07,10:15:08,2936.9164,0,0.0181,0.0033,2918.8296,-3.9,-4.3,-2.1944,-0.0448,0.0004,-0.2865,18.4178,30,0.0,26.515718,80.230408,104.0,26.515694,80.230385,103.2,11011
GF_23,2006-06-07,10:15:38,2936.9169,0,0.0144,0.0026,2918.8302,-4.5,-4.8,-2.1944,-0.0448,0.0006,-0.2868,18.4178,30,0.0,26.515718,80.230408,104.0,26.515684,80.23037,102.5,11011
GF_23,2006-06-07,10:16:08,2936.9167,0,0.0147,0.0027,2918.8298,-4.3,-6.1,-2.1959,-0.0449,0.0007,-0.2867,18.4178,30,0.0,26.515718,80.230408,104.0,26.515743,80.230408,103.2,11011
GF_42,2006-06-07,10:20:38,2934.7627,0,0.0105,0.0019,2916.676,-0.9,7.2,-2.1858,-0.0454,0.0007,-0.2863,18.4178,30,0.0,26.515705,80.230431,102.1,26.515732,80.230461,102.9,11011
GF_42,2006-06-07,10:21:08,2934.7637,0,0.0159,0.0029,2916.6772,-0.8,7.2,-2.1872,-0.0454,0.0007,-0.2866,18.4178,30,0.0,26.515705,80.230431,102.1,26.515747,80.230469,103.7,11011
GF_42,2006-06-07,10:21:38,2934.7627,0,0.0133,0.0024,2916.6761,0.1,7.3,-2.186,-0.0455,0.0007,-0.2864,18.4178,30,0.0,26.515705,80.230431,102.1,26.515738,80.230461,103.5,11011
GF_61,2006-06-07,10:24:59,2932.5723,0,0.0122,0.0022,2914.4868,2.0,-0.1,-2.1904,-0.0458,0.0001,-0.2866,18.4177,30,0.0,26.515734,80.230469,105.4,26.515694,80.230461,105.0,11011
GF_61,2006-06-07,10:25:29,2932.5727,0,0.014,0.0026,2914.4871,2.2,0.7,-2.185,-0.0458,0.0001,-0.2865,18.4177,30,0.0,26.515734,80.230469,105.4,26.515747,80.230446,105.3,11011
GF_61,2006-06-07,10:25:59,2932.572,0,0.0106,0.0019,2914.4864,2.0,1.0,-2.1921,-0.0458,0.0001,-0.2864,18.4177,30,0.0,26.515734,80.230469,105.4,26.515779,80.230461,106.0,11011
GF_43,2006-06-07,10:30:50,2934.7644,0,0.0086,0.0016,2916.6787,-5.6,-2.2,-2.1857,-0.0461,0.0004,-0.2862,18.4177,30,0.0,26.515846,80.230522,107.7,26.515833,80.230499,107.4,11011
GF_43,2006-06-07,10:31:20,2934.7639,0,0.0105,0.0019,2916.6789,-5.1,-1.4,-2.1909,-0.0462,0.0003,-0.2868,18.4177,30,0.0,26.515846,80.230522,107.7,26.515808,80.230522,107.5,11011
GF_43,2006-06-07,10:31:50,2934.7639,0,0.0125,0.0023,2916.6786,-5.8,-0.8,-2.2015,-0.0462,0.0004,-0.2867,18.4177,30,0.0,26.515846,80.230522,107.7,26.515705,80.230499,107.6,11011
GF_62,2006-06-07,10:35:39,2932.5782,0,0.0243,0.0044,2914.4927,-4.0,6.9,-2.1928,-0.0463,0.0008,-0.2867,18.4177,30,0.0,26.515699,80.230469,110.8,26.515671,80.230446,108.5,11011
GF_62,2006-06-07,10:36:09,2932.5779,0,0.0153,0.0028,2914.4927,-2.7,7.2,-2.1916,-0.0464,0.0007,-0.2869,18.4177,30,0.0,26.515699,80.230469,110.8,26.515705,80.230446,108.4,11011
GF_62,2006-06-07,10:36:39,2932.5803,0,0.0158,0.0029,2914.4945,-5.1,8.0,-2.1842,-0.0464,0.0012,-0.2868,18.4177,30,0.0,26.515699,80.230469,110.8,26.515728,80.230446,108.3,11011
